Tabelle: 52411-0013
Insolvenzverfahren (Unternehmen), Voraussichtliche;;;
Forderungen (Unternehmen), Arbeitnehmer: Deutschland,;;;
Monate, Unternehmensgrößenklassen;;;
Statistik über beantragte Insolvenzverfahren;;;;;;
Deutschland;;;;;;
;Insolvenzverfahren (Unternehmen);;Voraussichtliche Forderungen (Unternehmen);;Von Insolvenzverfahren betroffene Arbeitnehmer;
;Anzahl;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Anzahl
2020;;;;;;
6 bis 10 Arbeitnehmer;72;e;64285;e;557;e
11 bis 100 Arbeitnehmer;125;e;191179;e;3647;e
Über 100 Arbeitnehmer;11;e;485415;e;4445;e
Unbekannt oder kein Arbeitnehmer;831;e;612429;e;x;
Insgesamt;1312;e;1455919;e;9298;e
Dezember;;;;;;
1 Arbeitnehmer;118;e;36626;e;118;e
2 bis 5 Arbeitnehmer;175;e;59552;e;555;e
6 bis 10 Arbeitnehmer;86;e;58153;e;671;e
11 bis 100 Arbeitnehmer;146;e;520399;e;4274;e
Über 100 Arbeitnehmer;20;e;248248;e;5188;e
Unbekannt oder kein Arbeitnehmer;845;e;820870;e;x;
Insgesamt;1390;e;1743848;e;10806;e
2023;;;;;;
Januar;;;;;;
1 Arbeitnehmer;118;e;23849;e;118;e
2 bis 5 Arbeitnehmer;163;e;41517;e;531;e
6 bis 10 Arbeitnehmer;69;e;68564;e;530;e
11 bis 100 Arbeitnehmer;101;e;565839;e;2883;e
Über 100 Arbeitnehmer;15;e;812402;e;4538;e
Unbekannt oder kein Arbeitnehmer;805;e;760791;e;x;
Insgesamt;1271;e;2272962;e;8600;e
Februar;;;;;;
1 Arbeitnehmer;109;e;17639;e;109;e
2 bis 5 Arbeitnehmer;172;e;40070;e;567;e
6 bis 10 Arbeitnehmer;103;e;59785;e;785;e
11 bis 100 Arbeitnehmer;127;e;241030;e;3968;e
Über 100 Arbeitnehmer;25;e;1996169;e;28397;e
Unbekannt oder kein Arbeitnehmer;826;e;795532;e;x;
Insgesamt;1362;e;3150226;e;33826;e
März;;;;;;
1 Arbeitnehmer;126;e;49578;e;126;e
2 bis 5 Arbeitnehmer;200;e;80860;e;615;e
6 bis 10 Arbeitnehmer;97;e;116993;e;744;e
11 bis 100 Arbeitnehmer;150;e;386818;e;4465;e
Über 100 Arbeitnehmer;15;e;155764;e;3262;e
Unbekannt oder kein Arbeitnehmer;896;e;452114;e;x;
Insgesamt;1484;e;1242127;e;9212;e
April;;;;;;
1 Arbeitnehmer;111;e;21988;e;111;e
2 bis 5 Arbeitnehmer;154;e;59295;e;517;e
6 bis 10 Arbeitnehmer;84;e;39257;e;628;e
11 bis 100 Arbeitnehmer;206;e;538674;e;7161;e
Über 100 Arbeitnehmer;33;e;148942;e;8866;e
Unbekannt oder kein Arbeitnehmer;840;e;514791;e;x;
Insgesamt;1428;e;1322947;e;17283;e
Mai;;;;;;
1 Arbeitnehmer;126;e;26323;e;126;e
2 bis 5 Arbeitnehmer;182;e;60127;e;573;e
6 bis 10 Arbeitnehmer;106;e;84466;e;797;e
11 bis 100 Arbeitnehmer;143;e;550820;e;3750;e
Über 100 Arbeitnehmer;10;e;262341;e;1976;e
Unbekannt oder kein Arbeitnehmer;911;e;3013239;e;x;
Insgesamt;1478;e;3997314;e;7222;e
Juni;;;;;;
1 Arbeitnehmer;152;e;81872;e;152;e
2 bis 5 Arbeitnehmer;192;e;74145;e;619;e
6 bis 10 Arbeitnehmer;104;e;48342;e;806;e
11 bis 100 Arbeitnehmer;143;e;216767;e;4053;e
Über 100 Arbeitnehmer;17;e;847032;e;11232;e
Unbekannt oder kein Arbeitnehmer;940;e;634849;e;x;
Insgesamt;1548;e;1903008;e;16862;e
Juli;;;;;;
1 Arbeitnehmer;136;e;26516;e;136;e
2 bis 5 Arbeitnehmer;225;e;421870;e;698;e
6 bis 10 Arbeitnehmer;88;e;127747;e;660;e
11 bis 100 Arbeitnehmer;168;e;992314;e;5429;e
Über 100 Arbeitnehmer;20;e;598398;e;6367;e
Unbekannt oder kein Arbeitnehmer;949;e;920076;e;x;
Insgesamt;1586;e;3086922;e;13290;e
August;;;;;;
1 Arbeitnehmer;141;e;72124;e;141;e
2 bis 5 Arbeitnehmer;181;e;66671;e;585;e
6 bis 10 Arbeitnehmer;89;e;61885;e;674;e
11 bis 100 Arbeitnehmer;161;e;465474;e;4414;e
Über 100 Arbeitnehmer;19;e;723215;e;6218;e
Unbekannt oder kein Arbeitnehmer;965;e;451835;e;x;
Insgesamt;1556;e;1841204;e;12032;e
September;;;;;;
1 Arbeitnehmer;102;e;26497;e;102;e
2 bis 5 Arbeitnehmer;206;e;62576;e;638;e
6 bis 10 Arbeitnehmer;78;e;77792;e;601;e
11 bis 100 Arbeitnehmer;181;e;372091;e;5519;e
Über 100 Arbeitnehmer;30;e;632546;e;6415;e
Unbekannt oder kein Arbeitnehmer;960;e;1099255;e;x;
Insgesamt;1557;e;2270756;e;13275;e
Oktober;;;;;;
1 Arbeitnehmer;128;e;29249;e;128;e
2 bis 5 Arbeitnehmer;197;e;80080;e;600;e
6 bis 10 Arbeitnehmer;81;e;37444;e;633;e
11 bis 100 Arbeitnehmer;190;e;624685;e;5396;e
Über 100 Arbeitnehmer;18;e;230505;e;3002;e
Unbekannt oder kein Arbeitnehmer;867;e;574897;e;x;
Insgesamt;1481;e;1576860;e;9759;e
November;;;;;;
1 Arbeitnehmer;118;e;33584;e;118;e
2 bis 5 Arbeitnehmer;218;e;69406;e;665;e
6 bis 10 Arbeitnehmer;90;e;45133;e;687;e
11 bis 100 Arbeitnehmer;156;e;361988;e;4680;e
Über 100 Arbeitnehmer;12;e;394496;e;5723;e
