Datum,Jahr,Monat,Monatsnummer,Branchencode,Branche,Eroeffnet,Mangels_Masse_Abgewiesen,Gesamt
2020-10,2020,Oktober,10,WZ08-S,Erbringung von sonstigen Dienstleistungen,56.0,28.0,84.0
2020-11,2020,November,11,WZ08-A,"Land- und Forstwirtschaft, Fischerei",6.0,1.0,7.0
2020-11,2020,November,11,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,1.0,,
2020-11,2020,November,11,WZ08-C,Verarbeitendes Gewerbe,62.0,11.0,73.0
2020-11,2020,November,11,WZ08-D,Energieversorgung,3.0,,
2020-11,2020,November,11,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",3.0,1.0,4.0
2020-11,2020,November,11,WZ08-F,Baugewerbe,104.0,58.0,162.0
2020-11,2020,November,11,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",104.0,50.0,154.0
2020-11,2020,November,11,WZ08-H,Verkehr und Lagerei,56.0,10.0,66.0
2020-11,2020,November,11,WZ08-I,Gastgewerbe,94.0,37.0,131.0
2020-11,2020,November,11,WZ08-J,Information und Kommunikation,19.0,12.0,31.0
2020-11,2020,November,11,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,20.0,11.0,31.0
2020-11,2020,November,11,WZ08-L,Grundstücks- und Wohnungswesen,19.0,8.0,27.0
2020-11,2020,November,11,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",72.0,50.0,122.0
2020-11,2020,November,11,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,68.0,41.0,109.0
2020-11,2020,November,11,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,
2020-11,2020,November,11,WZ08-P,Erziehung und Unterricht,7.0,5.0,12.0
2020-11,2020,November,11,WZ08-Q,Gesundheits- und Sozialwesen,17.0,5.0,22.0
2020-11,2020,November,11,WZ08-R,"Kunst, Unterhaltung und Erholung",23.0,11.0,34.0
2020-11,2020,November,11,WZ08-S,Erbringung von sonstigen Dienstleistungen,36.0,21.0,57.0
2020-12,2020,Dezember,12,WZ08-A,"Land- und Forstwirtschaft, Fischerei",6.0,1.0,7.0
2020-12,2020,Dezember,12,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,,,
2020-12,2020,Dezember,12,WZ08-C,Verarbeitendes Gewerbe,109.0,12.0,121.0
2020-12,2020,Dezember,12,WZ08-D,Energieversorgung,9.0,3.0,12.0
2020-12,2020,Dezember,12,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",3.0,2.0,5.0
2020-12,2020,Dezember,12,WZ08-F,Baugewerbe,120.0,60.0,180.0
2020-12,2020,Dezember,12,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",103.0,55.0,158.0
2020-12,2020,Dezember,12,WZ08-H,Verkehr und Lagerei,63.0,21.0,84.0
2020-12,2020,Dezember,12,WZ08-I,Gastgewerbe,83.0,35.0,118.0
2020-12,2020,Dezember,12,WZ08-J,Information und Kommunikation,28.0,14.0,42.0
2020-12,2020,Dezember,12,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,25.0,6.0,31.0
2020-12,2020,Dezember,12,WZ08-L,Grundstücks- und Wohnungswesen,29.0,7.0,36.0
2020-12,2020,Dezember,12,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",89.0,56.0,145.0
2020-12,2020,Dezember,12,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,85.0,44.0,129.0
2020-12,2020,Dezember,12,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,
2020-12,2020,Dezember,12,WZ08-P,Erziehung und Unterricht,14.0,1.0,15.0
2020-12,2020,Dezember,12,WZ08-Q,Gesundheits- und Sozialwesen,31.0,3.0,34.0
2020-12,2020,Dezember,12,WZ08-R,"Kunst, Unterhaltung und Erholung",35.0,7.0,42.0
