Datum,Jahr,Monat,Monatsnummer,Bundesland,Insolvenzen,Veraenderung_Vorjahr_Pct,Forderungen_Tsd_EUR,Betroffene_Arbeitnehmer
2025-02,2025,Februar,2,Thüringen,22.0,-24.1,17526.0,150.0
2025-03,2025,März,3,Baden-Württemberg,190.0,-18.5,503195.0,2638.0
2025-03,2025,März,3,Bayern,273.0,10.1,2297344.0,1575.0
2025-03,2025,März,3,Berlin,170.0,9.7,603682.0,395.0
2025-03,2025,März,3,Brandenburg,39.0,30.0,62216.0,534.0
2025-03,2025,März,3,Bremen,16.0,45.5,102673.0,140.0
2025-03,2025,März,3,Hamburg,67.0,11.7,168889.0,505.0
2025-03,2025,März,3,Hessen,190.0,48.4,167852.0,680.0
2025-03,2025,März,3,Mecklenburg-Vorpommern,20.0,-37.5,14519.0,90.0
2025-03,2025,März,3,Niedersachsen,140.0,-14.1,98382.0,586.0
2025-03,2025,März,3,Nordrhein-Westfalen,553.0,25.7,851748.0,3910.0
2025-03,2025,März,3,Rheinland-Pfalz,87.0,4.8,298755.0,2609.0
2025-03,2025,März,3,Saarland,15.0,25.0,8093.0,143.0
2025-03,2025,März,3,Sachsen,75.0,-21.1,204994.0,253.0
2025-03,2025,März,3,Sachsen-Anhalt,30.0,11.1,8395.0,93.0
2025-03,2025,März,3,Schleswig-Holstein,97.0,61.7,153599.0,501.0
2025-03,2025,März,3,Thüringen,31.0,24.0,28690.0,102.0
2025-04,2025,April,4,Baden-Württemberg,220.0,-0.9,171123.0,971.0
2025-04,2025,April,4,Bayern,290.0,11.5,468158.0,2286.0
2025-04,2025,April,4,Berlin,169.0,-15.1,400182.0,1055.0
2025-04,2025,April,4,Brandenburg,54.0,45.9,70590.0,231.0
2025-04,2025,April,4,Bremen,17.0,-37.0,5017.0,83.0
2025-04,2025,April,4,Hamburg,86.0,2.4,64861.0,264.0
2025-04,2025,April,4,Hessen,181.0,24.0,159802.0,988.0
2025-04,2025,April,4,Mecklenburg-Vorpommern,29.0,61.1,24783.0,195.0
2025-04,2025,April,4,Niedersachsen,199.0,25.2,160708.0,1285.0
2025-04,2025,April,4,Nordrhein-Westfalen,509.0,12.4,586803.0,4244.0
2025-04,2025,April,4,Rheinland-Pfalz,103.0,45.1,69864.0,483.0
2025-04,2025,April,4,Saarland,14.0,-17.6,2750.0,25.0
2025-04,2025,April,4,Sachsen,102.0,59.4,210029.0,939.0
2025-04,2025,April,4,Sachsen-Anhalt,62.0,51.2,91431.0,2162.0
2025-04,2025,April,4,Schleswig-Holstein,74.0,-6.3,52269.0,297.0
2025-04,2025,April,4,Thüringen,16.0,-44.8,9507.0,152.0
2025-05,2025,Mai,5,Baden-Württemberg,207.0,-2.4,201290.0,1565.0
2025-05,2025,Mai,5,Bayern,266.0,-6.0,1066995.0,2417.0
2025-05,2025,Mai,5,Berlin,160.0,-14.4,272821.0,660.0
2025-05,2025,Mai,5,Brandenburg,56.0,86.7,32633.0,305.0
2025-05,2025,Mai,5,Bremen,17.0,6.3,4059.0,71.0
2025-05,2025,Mai,5,Hamburg,67.0,-23.9,50688.0,191.0
2025-05,2025,Mai,5,Hessen,164.0,22.4,113542.0,418.0
2025-05,2025,Mai,5,Mecklenburg-Vorpommern,33.0,50.0,21568.0,394.0
2025-05,2025,Mai,5,Niedersachsen,174.0,-8.4,119268.0,1497.0
2025-05,2025,Mai,5,Nordrhein-Westfalen,561.0,16.9,901993.0,3152.0
2025-05,2025,Mai,5,Rheinland-Pfalz,93.0,31.0,222403.0,1840.0
2025-05,2025,Mai,5,Saarland,16.0,33.3,3651.0,66.0
2025-05,2025,Mai,5,Sachsen,82.0,-2.4,114125.0,576.0
2025-05,2025,Mai,5,Sachsen-Anhalt,39.0,,33897.0,768.0
2025-05,2025,Mai,5,Schleswig-Holstein,70.0,12.9,37666.0,261.0
2025-05,2025,Mai,5,Thüringen,31.0,29.2,28487.0,409.0
2025-06,2025,Juni,6,Baden-Württemberg,199.0,6.4,312545.0,1749.0
2025-06,2025,Juni,6,Bayern,278.0,52.7,301439.0,1196.0
2025-06,2025,Juni,6,Berlin,198.0,21.5,429603.0,971.0
2025-06,2025,Juni,6,Brandenburg,34.0,21.4,17833.0,224.0
2025-06,2025,Juni,6,Bremen,8.0,-42.9,1151.0,29.0
2025-06,2025,Juni,6,Hamburg,56.0,-11.1,45402.0,775.0
2025-06,2025,Juni,6,Hessen,148.0,2.1,118169.0,1377.0
2025-06,2025,Juni,6,Mecklenburg-Vorpommern,19.0,-17.4,6715.0,130.0
2025-06,2025,Juni,6,Niedersachsen,163.0,23.5,133561.0,676.0
2025-06,2025,Juni,6,Nordrhein-Westfalen,548.0,15.1,895738.0,3582.0
2025-06,2025,Juni,6,Rheinland-Pfalz,76.0,13.4,68733.0,1472.0
2025-06,2025,Juni,6,Saarland,14.0,-36.4,3441.0,30.0
